转发量,品类热度,流量推送,成交额
974,5,5,93503
1389,7,8,135005
1221,5,7,104902
968,4,6,64503
1604,5,5,117002
990,5,5,145001
1386,6,5,158905
1208,6,6,165003
1851,6,8,187002
914,5,5,148005
1716,6,6,171005
2402,10,5,555001
1555,7,5,192501
1337,8,5,180004
1935,8,5,263440
1569,7,5,175905
1516,6,6,167003
1986,7,6,205005
912,5,7,120002
864,5,8,136505
693,4,4,52504
1638,6,5,192001
1826,8,5,319005
1920,5,5,172505
1617,6,5,193003
1218,6,5,208305
1396,6,7,153577
1949,7,5,236001
2531,8,5,290005
1733,7,5,225002
1953,8,5,252005
1659,8,5,278002
1920,5,5,137003
2654,6,7,250002
999,5,7,132504
1520,6,6,153005
1611,6,6,167901
1121,4,5,140001
1657,6,3,163503
1652,8,5,392501
1096,5,5,138805
1593,6,5,193005
